iter	Passed	Remaining
0	279	279428
1	394	196951
2	498	165554
3	567	141340
4	774	154108
5	898	148779
6	999	141763
7	1078	133712
8	1148	126413
9	1222	121057
10	1290	116069
11	1361	112116
12	1429	108556
13	1509	106285
14	1596	104806
15	1729	106348
16	1837	106255
17	1938	105779
18	2033	105006
19	2114	103589
20	2181	101705
21	2243	99713
22	2298	97651
23	2357	95862
24	2408	93950
25	2464	92312
26	2530	91187
27	2622	91042
28	2709	90719
29	2788	90172
30	2848	89042
31	2923	88428
32	3023	88607
33	3120	88669
34	3199	88225
35	3265	87437
36	3331	86701
37	3393	85905
38	3459	85244
39	3516	84396
40	3575	83624
41	3635	82920
42	3690	82144
43	3750	81487
44	3815	80982
45	3882	80519
46	3945	80003
47	4000	79333
48	4051	78635
49	4103	77972
50	4159	77390
51	4210	76756
52	4259	76115
53	4309	75501
54	4369	75077
55	4430	74687
56	4496	74397
57	4557	74014
58	4622	73726
59	4690	73486
60	4740	72979
61	4793	72520
62	4842	72016
63	4894	71585
64	4952	71246
65	5011	70925
66	5077	70707
67	5144	70514
68	5201	70181
69	5252	69776
70	5302	69384
71	5357	69055
72	5403	68619
73	5454	68257
74	5505	67898
75	5556	67558
76	5607	67214
77	5657	66876
78	5710	66572
79	5759	66231
80	5808	65900
81	5865	65663
82	5916	65370
83	5967	65070
84	6017	64772
85	6072	64534
86	6121	64240
87	6180	64049
88	6233	63803
89	6280	63506
90	6329	63229
91	6382	62992
92	6438	62790
93	6493	62583
94	6543	62339
95	6596	62114
96	6650	61912
97	6701	61685
98	6754	61471
99	6810	61290
100	6859	61054
101	6910	60842
102	6962	60633
103	7014	60435
104	7062	60197
105	7111	59982
106	7163	59782
107	7213	59577
108	7262	59361
109	7312	59165
110	7366	58998
111	7415	58790
112	7468	58621
113	7517	58424
114	7571	58271
115	7629	58144
116	7679	57953
117	7729	57777
118	7778	57587
119	7829	57416
120	7880	57248
121	7931	57081
122	7979	56891
123	8032	56746
124	8079	56556
125	8129	56392
126	8182	56248
127	8234	56096
128	8289	55967
129	8343	55835
130	8398	55715
131	8456	55604
132	8510	55477
133	8558	55313
134	8611	55178
135	8669	55079
136	8719	54928
137	8771	54790
138	8824	54664
139	8880	54550
140	8936	54440
141	8989	54315
142	9046	54213
143	9094	54059
144	9145	53928
145	9199	53809
146	9255	53709
147	9305	53571
148	9356	53440
149	9407	53308
150	9459	53186
151	9510	53057
152	9561	52933
153	9610	52794
154	9664	52689
155	9712	52548
156	9762	52419
157	9814	52300
158	9866	52184
159	9916	52060
160	9967	51942
161	10021	51842
162	10074	51732
163	10130	51642
164	10182	51527
165	10234	51416
166	10289	51325
167	10338	51202
168	10393	51108
169	10447	51006
170	10501	50912
171	10550	50790
172	10608	50713
173	10655	50582
174	10707	50480
175	10759	50376
176	10813	50278
177	10871	50204
178	10926	50116
179	10978	50014
180	11026	49893
181	11082	49808
182	11144	49754
183	11212	49724
184	11266	49631
185	11321	49547
186	11378	49469
187	11447	49443
188	11512	49400
189	11571	49331
190	11634	49279
191	11695	49220
192	11748	49123
193	11805	49049
194	11859	48959
195	11916	48880
196	11974	48811
197	12038	48761
